DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,10,3,393
WattsStrongatz,10,3,28
WattsStrongatz,10,3,163
WattsStrongatz,10,3,553
WattsStrongatz,10,3,141
WattsStrongatz,10,3,1155
WattsStrongatz,10,3,47
WattsStrongatz,10,3,256
WattsStrongatz,10,3,1182
WattsStrongatz,10,3,870
WattsStrongatz,10,3,1604
WattsStrongatz,10,3,947
WattsStrongatz,10,3,47
WattsStrongatz,10,3,642
WattsStrongatz,10,3,947
WattsStrongatz,10,3,1197
WattsStrongatz,10,3,700
WattsStrongatz,10,3,214
WattsStrongatz,10,3,15
WattsStrongatz,10,3,107
WattsStrongatz,10,3,59
WattsStrongatz,10,3,463
WattsStrongatz,10,3,561
WattsStrongatz,10,3,77
WattsStrongatz,10,3,171
WattsStrongatz,10,3,3
WattsStrongatz,10,3,51
WattsStrongatz,10,3,277
WattsStrongatz,10,3,978
WattsStrongatz,10,3,705
WattsStrongatz,10,3,83
WattsStrongatz,10,3,367
WattsStrongatz,10,3,78
WattsStrongatz,10,3,317
WattsStrongatz,10,3,363
WattsStrongatz,10,3,17
WattsStrongatz,10,3,52
WattsStrongatz,10,3,1531
WattsStrongatz,10,3,1008
WattsStrongatz,10,3,273
WattsStrongatz,10,3,119
WattsStrongatz,10,3,63
WattsStrongatz,10,3,224
WattsStrongatz,10,3,355
WattsStrongatz,10,3,530
WattsStrongatz,10,3,222
WattsStrongatz,10,3,174
WattsStrongatz,10,3,728
WattsStrongatz,10,3,222
WattsStrongatz,10,3,481
WattsStrongatz,10,3,401
WattsStrongatz,10,3,195
WattsStrongatz,10,3,295
WattsStrongatz,10,3,204
WattsStrongatz,10,3,157
WattsStrongatz,10,3,460
WattsStrongatz,10,3,527
WattsStrongatz,10,3,344
WattsStrongatz,10,3,333
WattsStrongatz,10,3,236
WattsStrongatz,10,3,302
WattsStrongatz,10,3,116
WattsStrongatz,10,3,211
WattsStrongatz,10,3,56
WattsStrongatz,10,3,1302
WattsStrongatz,10,3,346
WattsStrongatz,10,3,573
WattsStrongatz,10,3,6596
WattsStrongatz,10,3,125
WattsStrongatz,10,3,205
WattsStrongatz,10,3,122
WattsStrongatz,10,3,11
WattsStrongatz,10,3,78
WattsStrongatz,10,3,31
WattsStrongatz,10,3,562
WattsStrongatz,10,3,359
WattsStrongatz,10,3,13
WattsStrongatz,10,3,546
WattsStrongatz,10,3,326
WattsStrongatz,10,3,53
WattsStrongatz,10,3,188
WattsStrongatz,10,3,354
WattsStrongatz,10,3,5
WattsStrongatz,10,3,1818
WattsStrongatz,10,3,426
WattsStrongatz,10,3,391
WattsStrongatz,10,3,917
WattsStrongatz,10,3,874
WattsStrongatz,10,3,17
WattsStrongatz,10,3,533
WattsStrongatz,10,3,8
WattsStrongatz,10,3,112
WattsStrongatz,10,3,155
WattsStrongatz,10,3,539
WattsStrongatz,10,3,654
WattsStrongatz,10,3,249
WattsStrongatz,10,3,798
WattsStrongatz,10,3,39
WattsStrongatz,10,3,234
WattsStrongatz,10,3,351
