DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,1,3,2
WattsStrongatz,1,3,22
WattsStrongatz,1,3,21
WattsStrongatz,1,3,11
WattsStrongatz,1,3,23
WattsStrongatz,1,3,41
WattsStrongatz,1,3,32
WattsStrongatz,1,3,43
WattsStrongatz,1,3,26
WattsStrongatz,1,3,5
WattsStrongatz,1,3,3
WattsStrongatz,1,3,33
WattsStrongatz,1,3,33
WattsStrongatz,1,3,20
WattsStrongatz,1,3,123
WattsStrongatz,1,3,147
WattsStrongatz,1,3,9
WattsStrongatz,1,3,25
WattsStrongatz,1,3,18
WattsStrongatz,1,3,32
WattsStrongatz,1,3,23
WattsStrongatz,1,3,355
WattsStrongatz,1,3,126
WattsStrongatz,1,3,151
WattsStrongatz,1,3,15
WattsStrongatz,1,3,12
WattsStrongatz,1,3,27
WattsStrongatz,1,3,16
WattsStrongatz,1,3,4
WattsStrongatz,1,3,8
WattsStrongatz,1,3,8
WattsStrongatz,1,3,50
WattsStrongatz,1,3,29
WattsStrongatz,1,3,47
WattsStrongatz,1,3,7
WattsStrongatz,1,3,27
WattsStrongatz,1,3,17
WattsStrongatz,1,3,9
WattsStrongatz,1,3,22
WattsStrongatz,1,3,1
WattsStrongatz,1,3,24
WattsStrongatz,1,3,49
WattsStrongatz,1,3,6
WattsStrongatz,1,3,60
WattsStrongatz,1,3,8
WattsStrongatz,1,3,9
WattsStrongatz,1,3,10
WattsStrongatz,1,3,7
WattsStrongatz,1,3,35
WattsStrongatz,1,3,189
WattsStrongatz,1,3,25
WattsStrongatz,1,3,21
WattsStrongatz,1,3,26
WattsStrongatz,1,3,31
WattsStrongatz,1,3,37
WattsStrongatz,1,3,12
WattsStrongatz,1,3,184
WattsStrongatz,1,3,141
WattsStrongatz,1,3,5
WattsStrongatz,1,3,45
WattsStrongatz,1,3,17
WattsStrongatz,1,3,20
WattsStrongatz,1,3,1
WattsStrongatz,1,3,15
WattsStrongatz,1,3,30
WattsStrongatz,1,3,13
WattsStrongatz,1,3,28
WattsStrongatz,1,3,2
WattsStrongatz,1,3,31
WattsStrongatz,1,3,13
WattsStrongatz,1,3,29
WattsStrongatz,1,3,23
WattsStrongatz,1,3,13
WattsStrongatz,1,3,15
WattsStrongatz,1,3,23
WattsStrongatz,1,3,39
WattsStrongatz,1,3,2
WattsStrongatz,1,3,7
WattsStrongatz,1,3,15
WattsStrongatz,1,3,30
WattsStrongatz,1,3,43
WattsStrongatz,1,3,2
WattsStrongatz,1,3,36
WattsStrongatz,1,3,14
WattsStrongatz,1,3,6
WattsStrongatz,1,3,40
WattsStrongatz,1,3,16
WattsStrongatz,1,3,23
WattsStrongatz,1,3,13
WattsStrongatz,1,3,18
WattsStrongatz,1,3,29
WattsStrongatz,1,3,24
WattsStrongatz,1,3,28
WattsStrongatz,1,3,249
WattsStrongatz,1,3,69
WattsStrongatz,1,3,41
WattsStrongatz,1,3,24
WattsStrongatz,1,3,10
WattsStrongatz,1,3,28
WattsStrongatz,1,3,4
