DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
Tree,200,0.01282,1.5,2,0.8,0,5,34
Tree,200,0.01282,1.5,2,0.8,0,5,43
Tree,200,0.01282,1.5,3,0.8,0,5,24
Tree,200,0.01282,1.5,3,0.8,0,5,21
Tree,200,0.01282,1.5,3,0.8,0,5,68
Tree,200,0.01282,1.5,3,0.8,0,5,44
Tree,200,0.01282,1.5,3,0.8,0,5,380
Tree,200,0.01282,1.5,3,0.8,0,5,37
Tree,200,0.01282,1.5,3,0.8,0,5,230
Tree,200,0.01282,1.5,3,0.8,0,5,24
Tree,200,0.01282,1.5,2,0.8,0,5,80
Tree,200,0.01282,1.5,3,0.8,0,5,62
Tree,200,0.01282,1.5,2,0.8,0,5,134
Tree,200,0.01282,1.5,1,0.8,0,5,80
Tree,200,0.01282,1.5,3,0.8,0,5,264
Tree,200,0.01282,1.5,3,0.8,0,5,185
Tree,200,0.01282,1.5,3,0.8,0,5,130
Tree,200,0.01282,1.5,3,0.8,0,5,196
Tree,200,0.01282,1.5,3,0.8,0,5,110
Tree,200,0.01282,1.5,3,0.8,0,5,125
Tree,200,0.01282,1.5,3,0.8,0,5,34
Tree,200,0.01282,1.5,3,0.8,0,5,402
Tree,200,0.01282,1.5,3,0.8,0,5,83
Tree,200,0.01282,1.5,2,0.8,0,5,1
Tree,200,0.01282,1.5,2,0.8,0,5,198
Tree,200,0.01282,1.5,3,0.8,0,5,265
Tree,200,0.01282,1.5,3,0.8,0,5,417
Tree,200,0.01282,1.5,3,0.8,0,5,204
Tree,200,0.01282,1.5,3,0.8,0,5,506
Tree,200,0.01282,1.5,3,0.8,0,5,135
Tree,200,0.01282,1.5,3,0.8,0,5,18
Tree,200,0.01282,1.5,2,0.8,0,5,81
Tree,200,0.01282,1.5,3,0.8,0,5,35
Tree,200,0.01282,1.5,2,0.8,0,5,2
Tree,200,0.01282,1.5,3,0.8,0,5,74
Tree,200,0.01282,1.5,3,0.8,0,5,156
Tree,200,0.01282,1.5,3,0.8,0,5,528
Tree,200,0.01282,1.5,2,0.8,0,5,131
Tree,200,0.01282,1.5,3,0.8,0,5,161
Tree,200,0.01282,1.5,2,0.8,0,5,125
Tree,200,0.01282,1.5,3,0.8,0,5,117
Tree,200,0.01282,1.5,3,0.8,0,5,152
Tree,200,0.01282,1.5,3,0.8,0,5,590
Tree,200,0.01282,1.5,2,0.8,0,5,18
Tree,200,0.01282,1.5,2,0.8,0,5,306
Tree,200,0.01282,1.5,3,0.8,0,5,293
Tree,200,0.01282,1.5,3,0.8,0,5,143
Tree,200,0.01282,1.5,3,0.8,0,5,103
Tree,200,0.01282,1.5,3,0.8,0,5,273
Tree,200,0.01282,1.5,3,0.8,0,5,78
Tree,200,0.01282,1.5,3,0.8,0,5,64
Tree,200,0.01282,1.5,2,0.8,0,5,10
Tree,200,0.01282,1.5,3,0.8,0,5,305
Tree,200,0.01282,1.5,3,0.8,0,5,88
Tree,200,0.01282,1.5,3,0.8,0,5,167
Tree,200,0.01282,1.5,3,0.8,0,5,31
Tree,200,0.01282,1.5,3,0.8,0,5,346
Tree,200,0.01282,1.5,2,0.8,0,5,53
Tree,200,0.01282,1.5,3,0.8,0,5,2
Tree,200,0.01282,1.5,3,0.8,0,5,90
Tree,200,0.01282,1.5,3,0.8,0,5,2
Tree,200,0.01282,1.5,3,0.8,0,5,73
Tree,200,0.01282,1.5,0,0.8,0,5,0
Tree,200,0.01282,1.5,3,0.8,0,5,83
Tree,200,0.01282,1.5,3,0.8,0,5,185
Tree,200,0.01282,1.5,3,0.8,0,5,48
Tree,200,0.01282,1.5,2,0.8,0,5,105
Tree,200,0.01282,1.5,3,0.8,0,5,69
Tree,200,0.01282,1.5,3,0.8,0,5,149
Tree,200,0.01282,1.5,3,0.8,0,5,6
Tree,200,0.01282,1.5,3,0.8,0,5,46
Tree,200,0.01282,1.5,2,0.8,0,5,52
Tree,200,0.01282,1.5,3,0.8,0,5,441
Tree,200,0.01282,1.5,3,0.8,0,5,23
Tree,200,0.01282,1.5,3,0.8,0,5,184
Tree,200,0.01282,1.5,1,0.8,0,5,107
Tree,200,0.01282,1.5,3,0.8,0,5,97
Tree,200,0.01282,1.5,3,0.8,0,5,242
Tree,200,0.01282,1.5,3,0.8,0,5,42
Tree,200,0.01282,1.5,3,0.8,0,5,148
Tree,200,0.01282,1.5,3,0.8,0,5,134
Tree,200,0.01282,1.5,3,0.8,0,5,192
Tree,200,0.01282,1.5,3,0.8,0,5,278
Tree,200,0.01282,1.5,2,0.8,0,5,117
Tree,200,0.01282,1.5,3,0.8,0,5,122
Tree,200,0.01282,1.5,3,0.8,0,5,553
