DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,118
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,175
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,27
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,82
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,95
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,42
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,5
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,103
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,74
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,61
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,94
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,73
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,120
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,56
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,66
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,6
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,65
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,4
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,36
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,107
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,58
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,137
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,149
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,29
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,130
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,64
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,57
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,43
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,121
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,219
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,177
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,22
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,139
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,57
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,26
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,341
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,120
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,7
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,23
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,78
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,11
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,43
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
