DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,33
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,162
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,69
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,13
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,24
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,85
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,4
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,129
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,158
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,185
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,152
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,6
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,108
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,178
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,66
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,93
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,106
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,63
BarabasiAlbert,0.03970,10.0,4,0.8,0.1,5,38
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,144
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,102
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,7
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,47
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,121
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,201
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,287
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,31
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,137
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,14
BarabasiAlbert,0.03970,10.0,4,0.8,0.1,5,310
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,269
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,32
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,326
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,23
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,7
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,45
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,238
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,3
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,36
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,123
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,90
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,11
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,320
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,5
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,6
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,214
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,71
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,9
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,19
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,3
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,74
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,36
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,209
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,48
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,207
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,28
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,51
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,22
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,6
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,115
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,256
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,5
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,46
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,235
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,90
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,5
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,4
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,190
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,34
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,131
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,5
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,39
BarabasiAlbert,0.03970,10.0,4,0.8,0.1,5,63
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,254
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,9
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,154
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,43
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,39
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,49
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,26
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,306
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,98
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,235
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,26
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,13
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,4
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,538
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,40
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,74
BarabasiAlbert,0.03970,10.0,2,0.8,0.1,5,79
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,3
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,425
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,58
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,60
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,5,230
BarabasiAlbert,0.03970,10.0,1,0.8,0.1,5,1
