DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
WattsStrogatz,1.7,3,0.8,0,131
WattsStrogatz,1.7,3,0.8,0,122
WattsStrogatz,1.7,3,0.8,0,334
WattsStrogatz,1.7,3,0.8,0,254
WattsStrogatz,1.7,3,0.8,0,124
WattsStrogatz,1.7,3,0.8,0,73
WattsStrogatz,1.7,3,0.8,0,306
WattsStrogatz,1.7,3,0.8,0,5
WattsStrogatz,1.7,3,0.8,0,294
WattsStrogatz,1.7,3,0.8,0,533
WattsStrogatz,1.7,3,0.8,0,4
WattsStrogatz,1.7,3,0.8,0,698
WattsStrogatz,1.7,3,0.8,0,752
WattsStrogatz,1.7,3,0.8,0,332
WattsStrogatz,1.7,3,0.8,0,269
WattsStrogatz,1.7,3,0.8,0,417
WattsStrogatz,1.7,3,0.8,0,313
WattsStrogatz,1.7,3,0.8,0,86
WattsStrogatz,1.7,3,0.8,0,557
WattsStrogatz,1.7,3,0.8,0,557
WattsStrogatz,1.7,3,0.8,0,890
WattsStrogatz,1.7,3,0.8,0,265
WattsStrogatz,1.7,3,0.8,0,610
WattsStrogatz,1.7,3,0.8,0,527
WattsStrogatz,1.7,3,0.8,0,211
WattsStrogatz,1.7,3,0.8,0,301
WattsStrogatz,1.7,3,0.8,0,809
WattsStrogatz,1.7,3,0.8,0,58
WattsStrogatz,1.7,3,0.8,0,233
WattsStrogatz,1.7,3,0.8,0,608
WattsStrogatz,1.7,3,0.8,0,87
WattsStrogatz,1.7,3,0.8,0,167
WattsStrogatz,1.7,3,0.8,0,942
WattsStrogatz,1.7,3,0.8,0,688
WattsStrogatz,1.7,3,0.8,0,249
WattsStrogatz,1.7,3,0.8,0,103
WattsStrogatz,1.7,3,0.8,0,6
WattsStrogatz,1.7,3,0.8,0,122
WattsStrogatz,1.7,3,0.8,0,306
WattsStrogatz,1.7,3,0.8,0,1133
WattsStrogatz,1.7,3,0.8,0,716
WattsStrogatz,1.7,3,0.8,0,1019
WattsStrogatz,1.7,3,0.8,0,421
WattsStrogatz,1.7,3,0.8,0,303
WattsStrogatz,1.7,3,0.8,0,4
WattsStrogatz,1.7,3,0.8,0,66
WattsStrogatz,1.7,3,0.8,0,226
WattsStrogatz,1.7,3,0.8,0,53
WattsStrogatz,1.7,3,0.8,0,963
WattsStrogatz,1.7,3,0.8,0,722
WattsStrogatz,1.7,3,0.8,0,971
WattsStrogatz,1.7,3,0.8,0,344
WattsStrogatz,1.7,3,0.8,0,920
WattsStrogatz,1.7,3,0.8,0,419
WattsStrogatz,1.7,3,0.8,0,252
WattsStrogatz,1.7,3,0.8,0,192
WattsStrogatz,1.7,3,0.8,0,79
WattsStrogatz,1.7,3,0.8,0,267
WattsStrogatz,1.7,3,0.8,0,1327
WattsStrogatz,1.7,3,0.8,0,136
WattsStrogatz,1.7,3,0.8,0,290
WattsStrogatz,1.7,3,0.8,0,505
WattsStrogatz,1.7,3,0.8,0,1526
WattsStrogatz,1.7,3,0.8,0,28
WattsStrogatz,1.7,3,0.8,0,393
WattsStrogatz,1.7,3,0.8,0,352
WattsStrogatz,1.7,3,0.8,0,17
WattsStrogatz,1.7,3,0.8,0,363
WattsStrogatz,1.7,3,0.8,0,62
WattsStrogatz,1.7,3,0.8,0,262
WattsStrogatz,1.7,3,0.8,0,39
WattsStrogatz,1.7,3,0.8,0,459
WattsStrogatz,1.7,3,0.8,0,627
WattsStrogatz,1.7,3,0.8,0,144
WattsStrogatz,1.7,3,0.8,0,160
WattsStrogatz,1.7,3,0.8,0,289
WattsStrogatz,1.7,3,0.8,0,202
WattsStrogatz,1.7,3,0.8,0,1027
WattsStrogatz,1.7,3,0.8,0,3
WattsStrogatz,1.7,3,0.8,0,180
WattsStrogatz,1.7,3,0.8,0,695
WattsStrogatz,1.7,3,0.8,0,88
WattsStrogatz,1.7,3,0.8,0,78
WattsStrogatz,1.7,3,0.8,0,9
WattsStrogatz,1.7,3,0.8,0,118
WattsStrogatz,1.7,3,0.8,0,529
WattsStrogatz,1.7,3,0.8,0,139
WattsStrogatz,1.7,3,0.8,0,340
WattsStrogatz,1.7,3,0.8,0,323
WattsStrogatz,1.7,3,0.8,0,1
WattsStrogatz,1.7,3,0.8,0,442
WattsStrogatz,1.7,3,0.8,0,61
WattsStrogatz,1.7,3,0.8,0,4
WattsStrogatz,1.7,3,0.8,0,477
WattsStrogatz,1.7,3,0.8,0,125
WattsStrogatz,1.7,3,0.8,0,286
WattsStrogatz,1.7,3,0.8,0,226
WattsStrogatz,1.7,3,0.8,0,95
WattsStrogatz,1.7,3,0.8,0,67
WattsStrogatz,1.7,3,0.8,0,401
WattsStrogatz,1.7,3,0.8,0,153
WattsStrogatz,1.7,3,0.8,0,538
WattsStrogatz,1.7,3,0.8,0,3
WattsStrogatz,1.7,3,0.8,0,74
WattsStrogatz,1.7,3,0.8,0,41
WattsStrogatz,1.7,3,0.8,0,161
WattsStrogatz,1.7,3,0.8,0,626
WattsStrogatz,1.7,3,0.8,0,217
WattsStrogatz,1.7,3,0.8,0,389
WattsStrogatz,1.7,3,0.8,0,18
WattsStrogatz,1.7,3,0.8,0,70
WattsStrogatz,1.7,3,0.8,0,171
WattsStrogatz,1.7,3,0.8,0,818
WattsStrogatz,1.7,3,0.8,0,20
WattsStrogatz,1.7,3,0.8,0,115
WattsStrogatz,1.7,3,0.8,0,174
WattsStrogatz,1.7,3,0.8,0,126
WattsStrogatz,1.7,3,0.8,0,44
WattsStrogatz,1.7,3,0.8,0,49
WattsStrogatz,1.7,3,0.8,0,173
WattsStrogatz,1.7,3,0.8,0,170
WattsStrogatz,1.7,3,0.8,0,573
WattsStrogatz,1.7,3,0.8,0,23
WattsStrogatz,1.7,3,0.8,0,465
WattsStrogatz,1.7,3,0.8,0,526
WattsStrogatz,1.7,3,0.8,0,118
WattsStrogatz,1.7,3,0.8,0,660
WattsStrogatz,1.7,3,0.8,0,703
WattsStrogatz,1.7,3,0.8,0,68
WattsStrogatz,1.7,3,0.8,0,137
WattsStrogatz,1.7,3,0.8,0,91
WattsStrogatz,1.7,3,0.8,0,267
WattsStrogatz,1.7,3,0.8,0,454
WattsStrogatz,1.7,3,0.8,0,307
WattsStrogatz,1.7,3,0.8,0,191
WattsStrogatz,1.7,3,0.8,0,4
WattsStrogatz,1.7,3,0.8,0,264
WattsStrogatz,1.7,3,0.8,0,353
WattsStrogatz,1.7,3,0.8,0,27
WattsStrogatz,1.7,3,0.8,0,1167
WattsStrogatz,1.7,3,0.8,0,311
WattsStrogatz,1.7,3,0.8,0,151
WattsStrogatz,1.7,3,0.8,0,139
WattsStrogatz,1.7,3,0.8,0,392
WattsStrogatz,1.7,3,0.8,0,200
WattsStrogatz,1.7,3,0.8,0,1383
WattsStrogatz,1.7,3,0.8,0,412
WattsStrogatz,1.7,3,0.8,0,208
WattsStrogatz,1.7,3,0.8,0,630
WattsStrogatz,1.7,3,0.8,0,186
WattsStrogatz,1.7,3,0.8,0,157
WattsStrogatz,1.7,3,0.8,0,520
WattsStrogatz,1.7,3,0.8,0,75
WattsStrogatz,1.7,3,0.8,0,386
WattsStrogatz,1.7,3,0.8,0,122
WattsStrogatz,1.7,3,0.8,0,6
WattsStrogatz,1.7,3,0.8,0,260
WattsStrogatz,1.7,3,0.8,0,41
WattsStrogatz,1.7,3,0.8,0,484
WattsStrogatz,1.7,3,0.8,0,325
WattsStrogatz,1.7,3,0.8,0,139
WattsStrogatz,1.7,3,0.8,0,607
WattsStrogatz,1.7,3,0.8,0,212
WattsStrogatz,1.7,3,0.8,0,316
WattsStrogatz,1.7,3,0.8,0,33
WattsStrogatz,1.7,3,0.8,0,620
WattsStrogatz,1.7,3,0.8,0,366
WattsStrogatz,1.7,3,0.8,0,23
WattsStrogatz,1.7,3,0.8,0,395
WattsStrogatz,1.7,3,0.8,0,81
WattsStrogatz,1.7,3,0.8,0,97
WattsStrogatz,1.7,3,0.8,0,1202
WattsStrogatz,1.7,3,0.8,0,77
WattsStrogatz,1.7,3,0.8,0,404
WattsStrogatz,1.7,3,0.8,0,159
WattsStrogatz,1.7,3,0.8,0,165
WattsStrogatz,1.7,3,0.8,0,229
WattsStrogatz,1.7,3,0.8,0,144
WattsStrogatz,1.7,3,0.8,0,562
WattsStrogatz,1.7,3,0.8,0,9
WattsStrogatz,1.7,3,0.8,0,313
WattsStrogatz,1.7,3,0.8,0,372
WattsStrogatz,1.7,3,0.8,0,77
WattsStrogatz,1.7,3,0.8,0,277
WattsStrogatz,1.7,3,0.8,0,51
WattsStrogatz,1.7,3,0.8,0,477
WattsStrogatz,1.7,3,0.8,0,78
WattsStrogatz,1.7,3,0.8,0,61
WattsStrogatz,1.7,3,0.8,0,712
WattsStrogatz,1.7,3,0.8,0,197
WattsStrogatz,1.7,3,0.8,0,92
WattsStrogatz,1.7,3,0.8,0,413
WattsStrogatz,1.7,3,0.8,0,557
WattsStrogatz,1.7,3,0.8,0,34
WattsStrogatz,1.7,3,0.8,0,238
WattsStrogatz,1.7,3,0.8,0,214
WattsStrogatz,1.7,3,0.8,0,16
WattsStrogatz,1.7,3,0.8,0,188
WattsStrogatz,1.7,3,0.8,0,234
WattsStrogatz,1.7,3,0.8,0,1002
WattsStrogatz,1.7,3,0.8,0,572
WattsStrogatz,1.7,3,0.8,0,5
WattsStrogatz,1.7,3,0.8,0,451
WattsStrogatz,1.7,3,0.8,0,95
WattsStrogatz,1.7,3,0.8,0,139
WattsStrogatz,1.7,3,0.8,0,291
WattsStrogatz,1.7,3,0.8,0,657
WattsStrogatz,1.7,3,0.8,0,82
WattsStrogatz,1.7,3,0.8,0,21
WattsStrogatz,1.7,3,0.8,0,535
WattsStrogatz,1.7,3,0.8,0,117
WattsStrogatz,1.7,3,0.8,0,128
WattsStrogatz,1.7,3,0.8,0,328
WattsStrogatz,1.7,3,0.8,0,176
WattsStrogatz,1.7,3,0.8,0,291
WattsStrogatz,1.7,3,0.8,0,1110
WattsStrogatz,1.7,3,0.8,0,558
WattsStrogatz,1.7,3,0.8,0,14
WattsStrogatz,1.7,3,0.8,0,105
WattsStrogatz,1.7,3,0.8,0,129
WattsStrogatz,1.7,3,0.8,0,72
WattsStrogatz,1.7,3,0.8,0,241
WattsStrogatz,1.7,3,0.8,0,114
WattsStrogatz,1.7,3,0.8,0,156
WattsStrogatz,1.7,3,0.8,0,449
WattsStrogatz,1.7,3,0.8,0,1361
WattsStrogatz,1.7,3,0.8,0,74
WattsStrogatz,1.7,3,0.8,0,107
WattsStrogatz,1.7,3,0.8,0,506
WattsStrogatz,1.7,3,0.8,0,255
WattsStrogatz,1.7,3,0.8,0,188
WattsStrogatz,1.7,3,0.8,0,10
WattsStrogatz,1.7,3,0.8,0,225
WattsStrogatz,1.7,3,0.8,0,43
WattsStrogatz,1.7,3,0.8,0,124
WattsStrogatz,1.7,3,0.8,0,260
WattsStrogatz,1.7,3,0.8,0,8
WattsStrogatz,1.7,3,0.8,0,271
WattsStrogatz,1.7,3,0.8,0,271
WattsStrogatz,1.7,3,0.8,0,462
WattsStrogatz,1.7,3,0.8,0,54
WattsStrogatz,1.7,3,0.8,0,195
WattsStrogatz,1.7,3,0.8,0,129
WattsStrogatz,1.7,3,0.8,0,282
WattsStrogatz,1.7,3,0.8,0,187
WattsStrogatz,1.7,3,0.8,0,1012
WattsStrogatz,1.7,3,0.8,0,222
WattsStrogatz,1.7,3,0.8,0,372
WattsStrogatz,1.7,3,0.8,0,16
WattsStrogatz,1.7,3,0.8,0,503
WattsStrogatz,1.7,3,0.8,0,360
WattsStrogatz,1.7,3,0.8,0,695
WattsStrogatz,1.7,3,0.8,0,302
WattsStrogatz,1.7,3,0.8,0,30
WattsStrogatz,1.7,3,0.8,0,73
WattsStrogatz,1.7,3,0.8,0,157
WattsStrogatz,1.7,3,0.8,0,10
WattsStrogatz,1.7,3,0.8,0,409
WattsStrogatz,1.7,3,0.8,0,59
WattsStrogatz,1.7,3,0.8,0,481
WattsStrogatz,1.7,3,0.8,0,510
WattsStrogatz,1.7,3,0.8,0,126
WattsStrogatz,1.7,3,0.8,0,5
WattsStrogatz,1.7,3,0.8,0,144
WattsStrogatz,1.7,3,0.8,0,432
WattsStrogatz,1.7,3,0.8,0,298
WattsStrogatz,1.7,3,0.8,0,496
WattsStrogatz,1.7,3,0.8,0,48
WattsStrogatz,1.7,3,0.8,0,470
WattsStrogatz,1.7,3,0.8,0,13
WattsStrogatz,1.7,3,0.8,0,58
WattsStrogatz,1.7,3,0.8,0,103
WattsStrogatz,1.7,3,0.8,0,147
WattsStrogatz,1.7,3,0.8,0,324
WattsStrogatz,1.7,3,0.8,0,111
WattsStrogatz,1.7,3,0.8,0,638
WattsStrogatz,1.7,3,0.8,0,343
WattsStrogatz,1.7,3,0.8,0,280
WattsStrogatz,1.7,3,0.8,0,793
