DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
WattsStrogatz,1.3,3,0.8,0,341
WattsStrogatz,1.3,3,0.8,0,300
WattsStrogatz,1.3,3,0.8,0,300
WattsStrogatz,1.3,3,0.8,0,518
WattsStrogatz,1.3,3,0.8,0,222
WattsStrogatz,1.3,3,0.8,0,30
WattsStrogatz,1.3,3,0.8,0,134
WattsStrogatz,1.3,3,0.8,0,85
WattsStrogatz,1.3,3,0.8,0,17
WattsStrogatz,1.3,3,0.8,0,413
WattsStrogatz,1.3,3,0.8,0,64
WattsStrogatz,1.3,3,0.8,0,506
WattsStrogatz,1.3,3,0.8,0,1102
WattsStrogatz,1.3,3,0.8,0,517
WattsStrogatz,1.3,3,0.8,0,75
WattsStrogatz,1.3,3,0.8,0,70
WattsStrogatz,1.3,3,0.8,0,324
WattsStrogatz,1.3,3,0.8,0,154
WattsStrogatz,1.3,3,0.8,0,137
WattsStrogatz,1.3,3,0.8,0,101
WattsStrogatz,1.3,3,0.8,0,274
WattsStrogatz,1.3,3,0.8,0,304
WattsStrogatz,1.3,3,0.8,0,320
WattsStrogatz,1.3,3,0.8,0,434
WattsStrogatz,1.3,3,0.8,0,504
WattsStrogatz,1.3,3,0.8,0,448
WattsStrogatz,1.3,3,0.8,0,412
WattsStrogatz,1.3,3,0.8,0,597
WattsStrogatz,1.3,3,0.8,0,221
WattsStrogatz,1.3,3,0.8,0,206
WattsStrogatz,1.3,3,0.8,0,530
WattsStrogatz,1.3,3,0.8,0,333
WattsStrogatz,1.3,3,0.8,0,319
WattsStrogatz,1.3,3,0.8,0,165
WattsStrogatz,1.3,3,0.8,0,160
WattsStrogatz,1.3,3,0.8,0,252
WattsStrogatz,1.3,3,0.8,0,416
WattsStrogatz,1.3,3,0.8,0,254
WattsStrogatz,1.3,3,0.8,0,163
WattsStrogatz,1.3,3,0.8,0,136
WattsStrogatz,1.3,3,0.8,0,144
WattsStrogatz,1.3,3,0.8,0,5
WattsStrogatz,1.3,3,0.8,0,6
WattsStrogatz,1.3,3,0.8,0,668
WattsStrogatz,1.3,3,0.8,0,631
WattsStrogatz,1.3,3,0.8,0,253
WattsStrogatz,1.3,3,0.8,0,101
WattsStrogatz,1.3,3,0.8,0,84
WattsStrogatz,1.3,3,0.8,0,207
WattsStrogatz,1.3,3,0.8,0,567
WattsStrogatz,1.3,3,0.8,0,87
WattsStrogatz,1.3,3,0.8,0,530
WattsStrogatz,1.3,3,0.8,0,412
WattsStrogatz,1.3,3,0.8,0,220
WattsStrogatz,1.3,3,0.8,0,154
WattsStrogatz,1.3,3,0.8,0,554
WattsStrogatz,1.3,3,0.8,0,86
WattsStrogatz,1.3,3,0.8,0,7
WattsStrogatz,1.3,3,0.8,0,450
WattsStrogatz,1.3,3,0.8,0,567
WattsStrogatz,1.3,3,0.8,0,150
WattsStrogatz,1.3,3,0.8,0,438
WattsStrogatz,1.3,3,0.8,0,346
WattsStrogatz,1.3,3,0.8,0,139
WattsStrogatz,1.3,3,0.8,0,117
WattsStrogatz,1.3,3,0.8,0,260
WattsStrogatz,1.3,3,0.8,0,251
WattsStrogatz,1.3,3,0.8,0,293
WattsStrogatz,1.3,3,0.8,0,51
WattsStrogatz,1.3,3,0.8,0,182
WattsStrogatz,1.3,3,0.8,0,221
WattsStrogatz,1.3,3,0.8,0,252
WattsStrogatz,1.3,3,0.8,0,12
WattsStrogatz,1.3,3,0.8,0,253
WattsStrogatz,1.3,3,0.8,0,351
WattsStrogatz,1.3,3,0.8,0,195
WattsStrogatz,1.3,3,0.8,0,303
WattsStrogatz,1.3,3,0.8,0,114
WattsStrogatz,1.3,3,0.8,0,166
WattsStrogatz,1.3,3,0.8,0,213
WattsStrogatz,1.3,3,0.8,0,522
WattsStrogatz,1.3,3,0.8,0,130
WattsStrogatz,1.3,3,0.8,0,3
WattsStrogatz,1.3,3,0.8,0,39
WattsStrogatz,1.3,3,0.8,0,292
WattsStrogatz,1.3,3,0.8,0,209
WattsStrogatz,1.3,3,0.8,0,425
WattsStrogatz,1.3,3,0.8,0,220
WattsStrogatz,1.3,3,0.8,0,476
WattsStrogatz,1.3,3,0.8,0,113
WattsStrogatz,1.3,3,0.8,0,821
WattsStrogatz,1.3,3,0.8,0,335
WattsStrogatz,1.3,3,0.8,0,147
WattsStrogatz,1.3,3,0.8,0,432
WattsStrogatz,1.3,3,0.8,0,191
WattsStrogatz,1.3,3,0.8,0,201
WattsStrogatz,1.3,3,0.8,0,546
WattsStrogatz,1.3,3,0.8,0,143
WattsStrogatz,1.3,3,0.8,0,362
WattsStrogatz,1.3,3,0.8,0,460
WattsStrogatz,1.3,3,0.8,0,5
WattsStrogatz,1.3,3,0.8,0,357
WattsStrogatz,1.3,3,0.8,0,1028
WattsStrogatz,1.3,3,0.8,0,472
WattsStrogatz,1.3,3,0.8,0,225
WattsStrogatz,1.3,3,0.8,0,476
WattsStrogatz,1.3,3,0.8,0,318
WattsStrogatz,1.3,3,0.8,0,424
WattsStrogatz,1.3,3,0.8,0,260
WattsStrogatz,1.3,3,0.8,0,235
WattsStrogatz,1.3,3,0.8,0,127
WattsStrogatz,1.3,3,0.8,0,49
WattsStrogatz,1.3,3,0.8,0,77
WattsStrogatz,1.3,3,0.8,0,128
WattsStrogatz,1.3,3,0.8,0,74
WattsStrogatz,1.3,3,0.8,0,576
WattsStrogatz,1.3,3,0.8,0,262
WattsStrogatz,1.3,3,0.8,0,496
WattsStrogatz,1.3,3,0.8,0,418
WattsStrogatz,1.3,3,0.8,0,74
WattsStrogatz,1.3,3,0.8,0,482
WattsStrogatz,1.3,3,0.8,0,135
WattsStrogatz,1.3,3,0.8,0,242
WattsStrogatz,1.3,3,0.8,0,186
WattsStrogatz,1.3,3,0.8,0,109
WattsStrogatz,1.3,3,0.8,0,363
