DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
WattsStrogatz,1.8,3,0.8,0,142
WattsStrogatz,1.8,3,0.8,0,145
WattsStrogatz,1.8,3,0.8,0,13
WattsStrogatz,1.8,3,0.8,0,69
WattsStrogatz,1.8,3,0.8,0,44
WattsStrogatz,1.8,3,0.8,0,240
WattsStrogatz,1.8,3,0.8,0,97
WattsStrogatz,1.8,3,0.8,0,156
WattsStrogatz,1.8,3,0.8,0,66
WattsStrogatz,1.8,3,0.8,0,170
WattsStrogatz,1.8,3,0.8,0,145
WattsStrogatz,1.8,3,0.8,0,184
WattsStrogatz,1.8,3,0.8,0,52
WattsStrogatz,1.8,3,0.8,0,202
WattsStrogatz,1.8,3,0.8,0,161
WattsStrogatz,1.8,3,0.8,0,45
WattsStrogatz,1.8,3,0.8,0,272
WattsStrogatz,1.8,3,0.8,0,74
WattsStrogatz,1.8,3,0.8,0,14
WattsStrogatz,1.8,3,0.8,0,74
WattsStrogatz,1.8,3,0.8,0,53
WattsStrogatz,1.8,3,0.8,0,37
WattsStrogatz,1.8,3,0.8,0,125
WattsStrogatz,1.8,3,0.8,0,32
WattsStrogatz,1.8,3,0.8,0,181
WattsStrogatz,1.8,3,0.8,0,374
WattsStrogatz,1.8,3,0.8,0,222
WattsStrogatz,1.8,3,0.8,0,260
WattsStrogatz,1.8,3,0.8,0,91
WattsStrogatz,1.8,3,0.8,0,131
WattsStrogatz,1.8,3,0.8,0,236
WattsStrogatz,1.8,3,0.8,0,288
WattsStrogatz,1.8,3,0.8,0,118
WattsStrogatz,1.8,3,0.8,0,29
WattsStrogatz,1.8,3,0.8,0,50
WattsStrogatz,1.8,3,0.8,0,212
WattsStrogatz,1.8,3,0.8,0,5
WattsStrogatz,1.8,3,0.8,0,179
WattsStrogatz,1.8,3,0.8,0,173
WattsStrogatz,1.8,3,0.8,0,8
WattsStrogatz,1.8,3,0.8,0,14
WattsStrogatz,1.8,3,0.8,0,376
WattsStrogatz,1.8,3,0.8,0,13
WattsStrogatz,1.8,3,0.8,0,67
WattsStrogatz,1.8,3,0.8,0,113
WattsStrogatz,1.8,3,0.8,0,163
WattsStrogatz,1.8,3,0.8,0,276
WattsStrogatz,1.8,3,0.8,0,12
WattsStrogatz,1.8,3,0.8,0,346
WattsStrogatz,1.8,3,0.8,0,14
WattsStrogatz,1.8,3,0.8,0,20
WattsStrogatz,1.8,3,0.8,0,78
WattsStrogatz,1.8,3,0.8,0,71
WattsStrogatz,1.8,3,0.8,0,148
WattsStrogatz,1.8,3,0.8,0,67
WattsStrogatz,1.8,3,0.8,0,70
WattsStrogatz,1.8,3,0.8,0,118
WattsStrogatz,1.8,3,0.8,0,129
WattsStrogatz,1.8,3,0.8,0,58
WattsStrogatz,1.8,3,0.8,0,87
WattsStrogatz,1.8,3,0.8,0,67
WattsStrogatz,1.8,3,0.8,0,14
WattsStrogatz,1.8,3,0.8,0,98
WattsStrogatz,1.8,3,0.8,0,253
WattsStrogatz,1.8,3,0.8,0,225
WattsStrogatz,1.8,3,0.8,0,274
WattsStrogatz,1.8,3,0.8,0,5
WattsStrogatz,1.8,3,0.8,0,270
WattsStrogatz,1.8,3,0.8,0,268
WattsStrogatz,1.8,3,0.8,0,206
WattsStrogatz,1.8,3,0.8,0,149
WattsStrogatz,1.8,3,0.8,0,136
WattsStrogatz,1.8,3,0.8,0,133
WattsStrogatz,1.8,3,0.8,0,249
WattsStrogatz,1.8,3,0.8,0,157
WattsStrogatz,1.8,3,0.8,0,178
WattsStrogatz,1.8,3,0.8,0,16
WattsStrogatz,1.8,3,0.8,0,181
WattsStrogatz,1.8,3,0.8,0,29
WattsStrogatz,1.8,3,0.8,0,156
WattsStrogatz,1.8,3,0.8,0,21
WattsStrogatz,1.8,3,0.8,0,166
WattsStrogatz,1.8,3,0.8,0,63
WattsStrogatz,1.8,3,0.8,0,11
WattsStrogatz,1.8,3,0.8,0,210
WattsStrogatz,1.8,3,0.8,0,34
WattsStrogatz,1.8,3,0.8,0,68
WattsStrogatz,1.8,3,0.8,0,5
WattsStrogatz,1.8,3,0.8,0,4
WattsStrogatz,1.8,3,0.8,0,89
WattsStrogatz,1.8,3,0.8,0,347
WattsStrogatz,1.8,3,0.8,0,82
WattsStrogatz,1.8,3,0.8,0,179
WattsStrogatz,1.8,3,0.8,0,103
WattsStrogatz,1.8,3,0.8,0,111
WattsStrogatz,1.8,3,0.8,0,139
WattsStrogatz,1.8,3,0.8,0,74
WattsStrogatz,1.8,3,0.8,0,10
WattsStrogatz,1.8,3,0.8,0,144
WattsStrogatz,1.8,3,0.8,0,203
WattsStrogatz,1.8,3,0.8,0,103
WattsStrogatz,1.8,3,0.8,0,171
WattsStrogatz,1.8,3,0.8,0,84
WattsStrogatz,1.8,3,0.8,0,258
WattsStrogatz,1.8,3,0.8,0,96
WattsStrogatz,1.8,3,0.8,0,102
WattsStrogatz,1.8,3,0.8,0,133
WattsStrogatz,1.8,3,0.8,0,110
WattsStrogatz,1.8,3,0.8,0,6
WattsStrogatz,1.8,3,0.8,0,249
WattsStrogatz,1.8,3,0.8,0,99
WattsStrogatz,1.8,3,0.8,0,172
WattsStrogatz,1.8,3,0.8,0,71
WattsStrogatz,1.8,3,0.8,0,175
WattsStrogatz,1.8,3,0.8,0,192
WattsStrogatz,1.8,3,0.8,0,6
WattsStrogatz,1.8,3,0.8,0,80
WattsStrogatz,1.8,3,0.8,0,136
WattsStrogatz,1.8,3,0.8,0,4
WattsStrogatz,1.8,3,0.8,0,82
WattsStrogatz,1.8,3,0.8,0,68
WattsStrogatz,1.8,3,0.8,0,43
WattsStrogatz,1.8,3,0.8,0,82
WattsStrogatz,1.8,3,0.8,0,22
WattsStrogatz,1.8,3,0.8,0,142
WattsStrogatz,1.8,3,0.8,0,14
WattsStrogatz,1.8,3,0.8,0,119
WattsStrogatz,1.8,3,0.8,0,152
WattsStrogatz,1.8,3,0.8,0,224
WattsStrogatz,1.8,3,0.8,0,13
WattsStrogatz,1.8,3,0.8,0,88
WattsStrogatz,1.8,3,0.8,0,129
WattsStrogatz,1.8,3,0.8,0,130
WattsStrogatz,1.8,3,0.8,0,66
WattsStrogatz,1.8,3,0.8,0,31
WattsStrogatz,1.8,3,0.8,0,31
WattsStrogatz,1.8,3,0.8,0,181
WattsStrogatz,1.8,3,0.8,0,107
