DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.01994975,1.6,3,0.8,0,311
BarabasiAlbert,0.01994975,1.6,3,0.8,0,56
BarabasiAlbert,0.01994975,1.6,3,0.8,0,165
BarabasiAlbert,0.01994975,1.6,3,0.8,0,87
BarabasiAlbert,0.01994975,1.6,3,0.8,0,252
BarabasiAlbert,0.01994975,1.6,3,0.8,0,70
BarabasiAlbert,0.01994975,1.6,3,0.8,0,191
BarabasiAlbert,0.01994975,1.6,3,0.8,0,284
BarabasiAlbert,0.01994975,1.6,3,0.8,0,197
BarabasiAlbert,0.01994975,1.6,3,0.8,0,9
BarabasiAlbert,0.01994975,1.6,3,0.8,0,166
BarabasiAlbert,0.01994975,1.6,3,0.8,0,62
BarabasiAlbert,0.01994975,1.6,3,0.8,0,186
BarabasiAlbert,0.01994975,1.6,3,0.8,0,89
BarabasiAlbert,0.01994975,1.6,3,0.8,0,107
BarabasiAlbert,0.01994975,1.6,3,0.8,0,439
BarabasiAlbert,0.01994975,1.6,3,0.8,0,412
BarabasiAlbert,0.01994975,1.6,3,0.8,0,7
BarabasiAlbert,0.01994975,1.6,3,0.8,0,18
BarabasiAlbert,0.01994975,1.6,3,0.8,0,354
BarabasiAlbert,0.01994975,1.6,3,0.8,0,599
BarabasiAlbert,0.01994975,1.6,3,0.8,0,700
BarabasiAlbert,0.01994975,1.6,3,0.8,0,294
BarabasiAlbert,0.01994975,1.6,3,0.8,0,531
BarabasiAlbert,0.01994975,1.6,3,0.8,0,75
BarabasiAlbert,0.01994975,1.6,3,0.8,0,476
BarabasiAlbert,0.01994975,1.6,3,0.8,0,40
BarabasiAlbert,0.01994975,1.6,3,0.8,0,285
BarabasiAlbert,0.01994975,1.6,3,0.8,0,164
BarabasiAlbert,0.01994975,1.6,3,0.8,0,121
BarabasiAlbert,0.01994975,1.6,3,0.8,0,17
BarabasiAlbert,0.01994975,1.6,3,0.8,0,222
BarabasiAlbert,0.01994975,1.6,3,0.8,0,61
BarabasiAlbert,0.01994975,1.6,3,0.8,0,83
BarabasiAlbert,0.01994975,1.6,3,0.8,0,380
BarabasiAlbert,0.01994975,1.6,3,0.8,0,121
BarabasiAlbert,0.01994975,1.6,3,0.8,0,418
BarabasiAlbert,0.01994975,1.6,3,0.8,0,183
BarabasiAlbert,0.01994975,1.6,3,0.8,0,235
BarabasiAlbert,0.01994975,1.6,3,0.8,0,42
BarabasiAlbert,0.01994975,1.6,3,0.8,0,167
BarabasiAlbert,0.01994975,1.6,3,0.8,0,120
BarabasiAlbert,0.01994975,1.6,3,0.8,0,186
BarabasiAlbert,0.01994975,1.6,3,0.8,0,200
BarabasiAlbert,0.01994975,1.6,3,0.8,0,370
BarabasiAlbert,0.01994975,1.6,3,0.8,0,139
BarabasiAlbert,0.01994975,1.6,3,0.8,0,154
BarabasiAlbert,0.01994975,1.6,3,0.8,0,50
BarabasiAlbert,0.01994975,1.6,3,0.8,0,40
BarabasiAlbert,0.01994975,1.6,3,0.8,0,74
BarabasiAlbert,0.01994975,1.6,3,0.8,0,146
BarabasiAlbert,0.01994975,1.6,3,0.8,0,357
BarabasiAlbert,0.01994975,1.6,3,0.8,0,15
BarabasiAlbert,0.01994975,1.6,3,0.8,0,253
BarabasiAlbert,0.01994975,1.6,3,0.8,0,107
BarabasiAlbert,0.01994975,1.6,3,0.8,0,245
BarabasiAlbert,0.01994975,1.6,3,0.8,0,130
BarabasiAlbert,0.01994975,1.6,3,0.8,0,92
BarabasiAlbert,0.01994975,1.6,3,0.8,0,170
BarabasiAlbert,0.01994975,1.6,3,0.8,0,270
BarabasiAlbert,0.01994975,1.6,3,0.8,0,111
BarabasiAlbert,0.01994975,1.6,3,0.8,0,115
BarabasiAlbert,0.01994975,1.6,3,0.8,0,209
BarabasiAlbert,0.01994975,1.6,3,0.8,0,64
BarabasiAlbert,0.01994975,1.6,3,0.8,0,44
BarabasiAlbert,0.01994975,1.6,3,0.8,0,141
BarabasiAlbert,0.01994975,1.6,3,0.8,0,68
BarabasiAlbert,0.01994975,1.6,3,0.8,0,38
BarabasiAlbert,0.01994975,1.6,3,0.8,0,94
BarabasiAlbert,0.01994975,1.6,3,0.8,0,731
BarabasiAlbert,0.01994975,1.6,3,0.8,0,154
BarabasiAlbert,0.01994975,1.6,3,0.8,0,351
BarabasiAlbert,0.01994975,1.6,3,0.8,0,145
BarabasiAlbert,0.01994975,1.6,3,0.8,0,473
BarabasiAlbert,0.01994975,1.6,3,0.8,0,368
BarabasiAlbert,0.01994975,1.6,3,0.8,0,257
BarabasiAlbert,0.01994975,1.6,3,0.8,0,50
BarabasiAlbert,0.01994975,1.6,3,0.8,0,54
BarabasiAlbert,0.01994975,1.6,3,0.8,0,181
BarabasiAlbert,0.01994975,1.6,3,0.8,0,173
BarabasiAlbert,0.01994975,1.6,3,0.8,0,388
BarabasiAlbert,0.01994975,1.6,3,0.8,0,54
BarabasiAlbert,0.01994975,1.6,3,0.8,0,42
BarabasiAlbert,0.01994975,1.6,3,0.8,0,52
BarabasiAlbert,0.01994975,1.6,3,0.8,0,138
BarabasiAlbert,0.01994975,1.6,3,0.8,0,78
BarabasiAlbert,0.01994975,1.6,3,0.8,0,432
BarabasiAlbert,0.01994975,1.6,3,0.8,0,13
BarabasiAlbert,0.01994975,1.6,3,0.8,0,16
BarabasiAlbert,0.01994975,1.6,3,0.8,0,559
BarabasiAlbert,0.01994975,1.6,3,0.8,0,149
BarabasiAlbert,0.01994975,1.6,3,0.8,0,43
BarabasiAlbert,0.01994975,1.6,3,0.8,0,63
BarabasiAlbert,0.01994975,1.6,3,0.8,0,32
BarabasiAlbert,0.01994975,1.6,3,0.8,0,107
BarabasiAlbert,0.01994975,1.6,3,0.8,0,45
BarabasiAlbert,0.01994975,1.6,3,0.8,0,267
BarabasiAlbert,0.01994975,1.6,3,0.8,0,85
BarabasiAlbert,0.01994975,1.6,3,0.8,0,217
BarabasiAlbert,0.01994975,1.6,3,0.8,0,45
BarabasiAlbert,0.01994975,1.6,3,0.8,0,79
BarabasiAlbert,0.01994975,1.6,3,0.8,0,227
BarabasiAlbert,0.01994975,1.6,3,0.8,0,322
BarabasiAlbert,0.01994975,1.6,3,0.8,0,287
BarabasiAlbert,0.01994975,1.6,3,0.8,0,93
BarabasiAlbert,0.01994975,1.6,3,0.8,0,10
BarabasiAlbert,0.01994975,1.6,3,0.8,0,110
BarabasiAlbert,0.01994975,1.6,3,0.8,0,52
BarabasiAlbert,0.01994975,1.6,3,0.8,0,303
BarabasiAlbert,0.01994975,1.6,3,0.8,0,119
BarabasiAlbert,0.01994975,1.6,3,0.8,0,187
BarabasiAlbert,0.01994975,1.6,3,0.8,0,34
BarabasiAlbert,0.01994975,1.6,3,0.8,0,241
BarabasiAlbert,0.01994975,1.6,3,0.8,0,34
BarabasiAlbert,0.01994975,1.6,3,0.8,0,45
BarabasiAlbert,0.01994975,1.6,3,0.8,0,85
BarabasiAlbert,0.01994975,1.6,3,0.8,0,11
BarabasiAlbert,0.01994975,1.6,3,0.8,0,123
BarabasiAlbert,0.01994975,1.6,3,0.8,0,28
BarabasiAlbert,0.01994975,1.6,3,0.8,0,175
BarabasiAlbert,0.01994975,1.6,3,0.8,0,131
BarabasiAlbert,0.01994975,1.6,3,0.8,0,274
BarabasiAlbert,0.01994975,1.6,3,0.8,0,278
BarabasiAlbert,0.01994975,1.6,3,0.8,0,26
BarabasiAlbert,0.01994975,1.6,3,0.8,0,15
BarabasiAlbert,0.01994975,1.6,3,0.8,0,17
BarabasiAlbert,0.01994975,1.6,3,0.8,0,266
BarabasiAlbert,0.01994975,1.6,3,0.8,0,66
BarabasiAlbert,0.01994975,1.6,3,0.8,0,28
BarabasiAlbert,0.01994975,1.6,3,0.8,0,297
BarabasiAlbert,0.01994975,1.6,3,0.8,0,410
BarabasiAlbert,0.01994975,1.6,3,0.8,0,133
BarabasiAlbert,0.01994975,1.6,3,0.8,0,294
BarabasiAlbert,0.01994975,1.6,3,0.8,0,129
BarabasiAlbert,0.01994975,1.6,3,0.8,0,95
BarabasiAlbert,0.01994975,1.6,3,0.8,0,37
BarabasiAlbert,0.01994975,1.6,3,0.8,0,134
BarabasiAlbert,0.01994975,1.6,3,0.8,0,326
BarabasiAlbert,0.01994975,1.6,3,0.8,0,146
BarabasiAlbert,0.01994975,1.6,3,0.8,0,319
BarabasiAlbert,0.01994975,1.6,3,0.8,0,250
BarabasiAlbert,0.01994975,1.6,3,0.8,0,78
BarabasiAlbert,0.01994975,1.6,3,0.8,0,63
BarabasiAlbert,0.01994975,1.6,3,0.8,0,299
BarabasiAlbert,0.01994975,1.6,3,0.8,0,38
BarabasiAlbert,0.01994975,1.6,3,0.8,0,275
BarabasiAlbert,0.01994975,1.6,3,0.8,0,44
BarabasiAlbert,0.01994975,1.6,3,0.8,0,46
BarabasiAlbert,0.01994975,1.6,3,0.8,0,347
BarabasiAlbert,0.01994975,1.6,3,0.8,0,412
BarabasiAlbert,0.01994975,1.6,3,0.8,0,215
BarabasiAlbert,0.01994975,1.6,3,0.8,0,382
BarabasiAlbert,0.01994975,1.6,3,0.8,0,90
BarabasiAlbert,0.01994975,1.6,3,0.8,0,20
BarabasiAlbert,0.01994975,1.6,3,0.8,0,13
BarabasiAlbert,0.01994975,1.6,3,0.8,0,196
BarabasiAlbert,0.01994975,1.6,3,0.8,0,89
BarabasiAlbert,0.01994975,1.6,3,0.8,0,201
BarabasiAlbert,0.01994975,1.6,3,0.8,0,111
BarabasiAlbert,0.01994975,1.6,3,0.8,0,104
BarabasiAlbert,0.01994975,1.6,3,0.8,0,320
BarabasiAlbert,0.01994975,1.6,3,0.8,0,143
BarabasiAlbert,0.01994975,1.6,3,0.8,0,246
BarabasiAlbert,0.01994975,1.6,3,0.8,0,7
BarabasiAlbert,0.01994975,1.6,3,0.8,0,76
BarabasiAlbert,0.01994975,1.6,3,0.8,0,198
BarabasiAlbert,0.01994975,1.6,3,0.8,0,24
BarabasiAlbert,0.01994975,1.6,3,0.8,0,17
BarabasiAlbert,0.01994975,1.6,3,0.8,0,115
BarabasiAlbert,0.01994975,1.6,3,0.8,0,221
BarabasiAlbert,0.01994975,1.6,3,0.8,0,253
BarabasiAlbert,0.01994975,1.6,3,0.8,0,504
BarabasiAlbert,0.01994975,1.6,3,0.8,0,119
BarabasiAlbert,0.01994975,1.6,3,0.8,0,450
BarabasiAlbert,0.01994975,1.6,3,0.8,0,241
BarabasiAlbert,0.01994975,1.6,3,0.8,0,222
BarabasiAlbert,0.01994975,1.6,3,0.8,0,132
BarabasiAlbert,0.01994975,1.6,3,0.8,0,424
BarabasiAlbert,0.01994975,1.6,3,0.8,0,15
BarabasiAlbert,0.01994975,1.6,3,0.8,0,27
BarabasiAlbert,0.01994975,1.6,3,0.8,0,400
BarabasiAlbert,0.01994975,1.6,3,0.8,0,257
BarabasiAlbert,0.01994975,1.6,3,0.8,0,22
BarabasiAlbert,0.01994975,1.6,3,0.8,0,338
BarabasiAlbert,0.01994975,1.6,3,0.8,0,477
BarabasiAlbert,0.01994975,1.6,3,0.8,0,12
BarabasiAlbert,0.01994975,1.6,3,0.8,0,222
BarabasiAlbert,0.01994975,1.6,3,0.8,0,23
BarabasiAlbert,0.01994975,1.6,3,0.8,0,237
BarabasiAlbert,0.01994975,1.6,3,0.8,0,20
BarabasiAlbert,0.01994975,1.6,3,0.8,0,204
BarabasiAlbert,0.01994975,1.6,3,0.8,0,76
BarabasiAlbert,0.01994975,1.6,3,0.8,0,156
BarabasiAlbert,0.01994975,1.6,3,0.8,0,273
BarabasiAlbert,0.01994975,1.6,3,0.8,0,65
BarabasiAlbert,0.01994975,1.6,3,0.8,0,443
BarabasiAlbert,0.01994975,1.6,3,0.8,0,106
BarabasiAlbert,0.01994975,1.6,3,0.8,0,31
BarabasiAlbert,0.01994975,1.6,3,0.8,0,223
BarabasiAlbert,0.01994975,1.6,3,0.8,0,294
BarabasiAlbert,0.01994975,1.6,3,0.8,0,75
BarabasiAlbert,0.01994975,1.6,3,0.8,0,19
BarabasiAlbert,0.01994975,1.6,3,0.8,0,372
BarabasiAlbert,0.01994975,1.6,3,0.8,0,77
BarabasiAlbert,0.01994975,1.6,3,0.8,0,125
BarabasiAlbert,0.01994975,1.6,3,0.8,0,136
BarabasiAlbert,0.01994975,1.6,3,0.8,0,276
BarabasiAlbert,0.01994975,1.6,3,0.8,0,167
BarabasiAlbert,0.01994975,1.6,3,0.8,0,591
BarabasiAlbert,0.01994975,1.6,3,0.8,0,123
BarabasiAlbert,0.01994975,1.6,3,0.8,0,363
BarabasiAlbert,0.01994975,1.6,3,0.8,0,182
BarabasiAlbert,0.01994975,1.6,3,0.8,0,382
BarabasiAlbert,0.01994975,1.6,3,0.8,0,189
BarabasiAlbert,0.01994975,1.6,3,0.8,0,309
BarabasiAlbert,0.01994975,1.6,3,0.8,0,112
BarabasiAlbert,0.01994975,1.6,3,0.8,0,73
BarabasiAlbert,0.01994975,1.6,3,0.8,0,90
BarabasiAlbert,0.01994975,1.6,3,0.8,0,53
BarabasiAlbert,0.01994975,1.6,3,0.8,0,48
BarabasiAlbert,0.01994975,1.6,3,0.8,0,255
BarabasiAlbert,0.01994975,1.6,3,0.8,0,168
BarabasiAlbert,0.01994975,1.6,3,0.8,0,226
BarabasiAlbert,0.01994975,1.6,3,0.8,0,318
BarabasiAlbert,0.01994975,1.6,3,0.8,0,6
BarabasiAlbert,0.01994975,1.6,3,0.8,0,51
BarabasiAlbert,0.01994975,1.6,3,0.8,0,112
BarabasiAlbert,0.01994975,1.6,3,0.8,0,16
BarabasiAlbert,0.01994975,1.6,3,0.8,0,583
BarabasiAlbert,0.01994975,1.6,3,0.8,0,165
BarabasiAlbert,0.01994975,1.6,3,0.8,0,79
BarabasiAlbert,0.01994975,1.6,3,0.8,0,162
BarabasiAlbert,0.01994975,1.6,3,0.8,0,440
BarabasiAlbert,0.01994975,1.6,3,0.8,0,9
BarabasiAlbert,0.01994975,1.6,3,0.8,0,171
BarabasiAlbert,0.01994975,1.6,3,0.8,0,6
