DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.01994975,1.1,3,0.8,0,128
BarabasiAlbert,0.01994975,1.1,3,0.8,0,126
BarabasiAlbert,0.01994975,1.1,3,0.8,0,76
BarabasiAlbert,0.01994975,1.1,3,0.8,0,44
BarabasiAlbert,0.01994975,1.1,3,0.8,0,392
BarabasiAlbert,0.01994975,1.1,3,0.8,0,366
BarabasiAlbert,0.01994975,1.1,3,0.8,0,161
BarabasiAlbert,0.01994975,1.1,3,0.8,0,124
BarabasiAlbert,0.01994975,1.1,3,0.8,0,130
BarabasiAlbert,0.01994975,1.1,3,0.8,0,233
BarabasiAlbert,0.01994975,1.1,3,0.8,0,168
BarabasiAlbert,0.01994975,1.1,3,0.8,0,185
BarabasiAlbert,0.01994975,1.1,3,0.8,0,11
BarabasiAlbert,0.01994975,1.1,3,0.8,0,315
BarabasiAlbert,0.01994975,1.1,3,0.8,0,28
BarabasiAlbert,0.01994975,1.1,3,0.8,0,325
BarabasiAlbert,0.01994975,1.1,3,0.8,0,265
BarabasiAlbert,0.01994975,1.1,3,0.8,0,126
BarabasiAlbert,0.01994975,1.1,3,0.8,0,112
BarabasiAlbert,0.01994975,1.1,3,0.8,0,224
BarabasiAlbert,0.01994975,1.1,3,0.8,0,304
BarabasiAlbert,0.01994975,1.1,3,0.8,0,148
BarabasiAlbert,0.01994975,1.1,3,0.8,0,261
BarabasiAlbert,0.01994975,1.1,3,0.8,0,67
BarabasiAlbert,0.01994975,1.1,3,0.8,0,26
BarabasiAlbert,0.01994975,1.1,3,0.8,0,31
BarabasiAlbert,0.01994975,1.1,3,0.8,0,191
BarabasiAlbert,0.01994975,1.1,3,0.8,0,41
BarabasiAlbert,0.01994975,1.1,3,0.8,0,211
BarabasiAlbert,0.01994975,1.1,3,0.8,0,43
BarabasiAlbert,0.01994975,1.1,3,0.8,0,177
BarabasiAlbert,0.01994975,1.1,3,0.8,0,162
BarabasiAlbert,0.01994975,1.1,3,0.8,0,500
BarabasiAlbert,0.01994975,1.1,3,0.8,0,140
BarabasiAlbert,0.01994975,1.1,3,0.8,0,172
BarabasiAlbert,0.01994975,1.1,3,0.8,0,125
BarabasiAlbert,0.01994975,1.1,3,0.8,0,53
BarabasiAlbert,0.01994975,1.1,3,0.8,0,79
BarabasiAlbert,0.01994975,1.1,3,0.8,0,287
BarabasiAlbert,0.01994975,1.1,3,0.8,0,370
BarabasiAlbert,0.01994975,1.1,3,0.8,0,329
BarabasiAlbert,0.01994975,1.1,3,0.8,0,318
BarabasiAlbert,0.01994975,1.1,3,0.8,0,253
BarabasiAlbert,0.01994975,1.1,3,0.8,0,23
BarabasiAlbert,0.01994975,1.1,3,0.8,0,277
BarabasiAlbert,0.01994975,1.1,3,0.8,0,218
BarabasiAlbert,0.01994975,1.1,3,0.8,0,104
BarabasiAlbert,0.01994975,1.1,3,0.8,0,38
BarabasiAlbert,0.01994975,1.1,3,0.8,0,76
BarabasiAlbert,0.01994975,1.1,3,0.8,0,402
