DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,12
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,44
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,31
BarabasiAlbert,200,0.03970,10.0,3.4,0.8,0.1,5,21
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,80
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,34
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,17
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,53
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,20
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,33
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,9
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,18
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,33
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,21
BarabasiAlbert,200,0.03970,10.0,1.8,0.8,0.1,5,1
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,8
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,17
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,28
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,24
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,18
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,75
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,35
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,12
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,16
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,7
