DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
WattsStrogatz,0.4,1,0.8,0,5
WattsStrogatz,0.4,1,0.8,0,56
WattsStrogatz,0.4,1,0.8,0,233
WattsStrogatz,0.4,1,0.8,0,300
WattsStrogatz,0.4,1,0.8,0,1
WattsStrogatz,0.4,1,0.8,0,8
WattsStrogatz,0.4,1,0.8,0,177
WattsStrogatz,0.4,1,0.8,0,223
WattsStrogatz,0.4,1,0.8,0,52
WattsStrogatz,0.4,1,0.8,0,462
WattsStrogatz,0.4,1,0.8,0,339
WattsStrogatz,0.4,1,0.8,0,392
WattsStrogatz,0.4,1,0.8,0,490
WattsStrogatz,0.4,1,0.8,0,216
WattsStrogatz,0.4,1,0.8,0,92
WattsStrogatz,0.4,1,0.8,0,359
WattsStrogatz,0.4,1,0.8,0,163
WattsStrogatz,0.4,1,0.8,0,489
WattsStrogatz,0.4,1,0.8,0,60
WattsStrogatz,0.4,1,0.8,0,588
WattsStrogatz,0.4,1,0.8,0,201
WattsStrogatz,0.4,1,0.8,0,84
WattsStrogatz,0.4,1,0.8,0,90
WattsStrogatz,0.4,1,0.8,0,120
WattsStrogatz,0.4,1,0.8,0,407
WattsStrogatz,0.4,1,0.8,0,287
WattsStrogatz,0.4,1,0.8,0,343
WattsStrogatz,0.4,1,0.8,0,344
WattsStrogatz,0.4,1,0.8,0,621
WattsStrogatz,0.4,1,0.8,0,1
WattsStrogatz,0.4,1,0.8,0,116
WattsStrogatz,0.4,1,0.8,0,1
WattsStrogatz,0.4,1,0.8,0,268
WattsStrogatz,0.4,1,0.8,0,41
WattsStrogatz,0.4,1,0.8,0,173
WattsStrogatz,0.4,1,0.8,0,154
WattsStrogatz,0.4,1,0.8,0,371
WattsStrogatz,0.4,1,0.8,0,448
WattsStrogatz,0.4,1,0.8,0,151
WattsStrogatz,0.4,1,0.8,0,58
WattsStrogatz,0.4,1,0.8,0,182
WattsStrogatz,0.4,1,0.8,0,586
WattsStrogatz,0.4,1,0.8,0,400
WattsStrogatz,0.4,1,0.8,0,435
WattsStrogatz,0.4,1,0.8,0,196
WattsStrogatz,0.4,1,0.8,0,373
WattsStrogatz,0.4,1,0.8,0,567
WattsStrogatz,0.4,1,0.8,0,219
WattsStrogatz,0.4,1,0.8,0,45
