DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,353
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,160
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,592
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,76
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,403
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,65
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,1019
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,340
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,66
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,299
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,212
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,934
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,30
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,32
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,669
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,419
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,167
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,6
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,173
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,207
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,13
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,126
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,72
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,449
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,130
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,340
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,109
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,35
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,4
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,889
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,30
BarabasiAlbert,0.03970,10.0,3,0.8,0.1,1,148
