DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,1,3,591
WattsStrongatz,1,3,588
WattsStrongatz,1,3,696
WattsStrongatz,1,3,275
WattsStrongatz,1,3,165
WattsStrongatz,1,3,562
WattsStrongatz,1,3,463
WattsStrongatz,1,3,117
WattsStrongatz,1,3,730
WattsStrongatz,1,3,449
WattsStrongatz,1,3,803
WattsStrongatz,1,3,782
WattsStrongatz,1,3,498
WattsStrongatz,1,3,708
WattsStrongatz,1,3,411
WattsStrongatz,1,3,808
WattsStrongatz,1,3,489
WattsStrongatz,1,3,380
WattsStrongatz,1,3,787
WattsStrongatz,1,3,407
WattsStrongatz,1,3,126
WattsStrongatz,1,3,180
WattsStrongatz,1,3,4
WattsStrongatz,1,3,510
WattsStrongatz,1,3,28
WattsStrongatz,1,3,593
WattsStrongatz,1,3,507
WattsStrongatz,1,3,384
WattsStrongatz,1,3,377
WattsStrongatz,1,3,164
WattsStrongatz,1,3,706
WattsStrongatz,1,3,26
WattsStrongatz,1,3,537
WattsStrongatz,1,3,755
WattsStrongatz,1,3,723
WattsStrongatz,1,3,268
WattsStrongatz,1,3,540
WattsStrongatz,1,3,497
WattsStrongatz,1,3,24
WattsStrongatz,1,3,77
WattsStrongatz,1,3,538
WattsStrongatz,1,3,68
WattsStrongatz,1,3,684
WattsStrongatz,1,3,517
WattsStrongatz,1,3,796
WattsStrongatz,1,3,340
WattsStrongatz,1,3,363
WattsStrongatz,1,3,207
WattsStrongatz,1,3,340
WattsStrongatz,1,3,232
WattsStrongatz,1,3,472
WattsStrongatz,1,3,109
WattsStrongatz,1,3,431
WattsStrongatz,1,3,50
WattsStrongatz,1,3,549
WattsStrongatz,1,3,461
WattsStrongatz,1,3,272
WattsStrongatz,1,3,612
WattsStrongatz,1,3,179
WattsStrongatz,1,3,883
WattsStrongatz,1,3,879
WattsStrongatz,1,3,672
WattsStrongatz,1,3,551
WattsStrongatz,1,3,330
WattsStrongatz,1,3,568
WattsStrongatz,1,3,628
WattsStrongatz,1,3,556
WattsStrongatz,1,3,93
WattsStrongatz,1,3,372
WattsStrongatz,1,3,235
WattsStrongatz,1,3,340
WattsStrongatz,1,3,116
WattsStrongatz,1,3,682
WattsStrongatz,1,3,716
WattsStrongatz,1,3,234
WattsStrongatz,1,3,736
WattsStrongatz,1,3,236
WattsStrongatz,1,3,233
WattsStrongatz,1,3,1072
WattsStrongatz,1,3,517
WattsStrongatz,1,3,284
WattsStrongatz,1,3,345
WattsStrongatz,1,3,210
WattsStrongatz,1,3,562
WattsStrongatz,1,3,284
WattsStrongatz,1,3,576
WattsStrongatz,1,3,59
WattsStrongatz,1,3,259
WattsStrongatz,1,3,536
WattsStrongatz,1,3,758
WattsStrongatz,1,3,96
WattsStrongatz,1,3,316
WattsStrongatz,1,3,554
WattsStrongatz,1,3,566
WattsStrongatz,1,3,753
WattsStrongatz,1,3,680
WattsStrongatz,1,3,241
WattsStrongatz,1,3,40
WattsStrongatz,1,3,32
WattsStrongatz,1,3,194
