DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.03970,1.7,3,0.8,0,31
BarabasiAlbert,0.03970,1.7,3,0.8,0,96
BarabasiAlbert,0.03970,1.7,3,0.8,0,2
BarabasiAlbert,0.03970,1.7,3,0.8,0,22
BarabasiAlbert,0.03970,1.7,3,0.8,0,76
BarabasiAlbert,0.03970,1.7,3,0.8,0,71
BarabasiAlbert,0.03970,1.7,3,0.8,0,287
BarabasiAlbert,0.03970,1.7,3,0.8,0,245
BarabasiAlbert,0.03970,1.7,3,0.8,0,39
BarabasiAlbert,0.03970,1.7,3,0.8,0,103
BarabasiAlbert,0.03970,1.7,3,0.8,0,53
BarabasiAlbert,0.03970,1.7,3,0.8,0,237
BarabasiAlbert,0.03970,1.7,3,0.8,0,76
BarabasiAlbert,0.03970,1.7,3,0.8,0,101
BarabasiAlbert,0.03970,1.7,3,0.8,0,37
BarabasiAlbert,0.03970,1.7,3,0.8,0,98
BarabasiAlbert,0.03970,1.7,3,0.8,0,104
BarabasiAlbert,0.03970,1.7,3,0.8,0,12
BarabasiAlbert,0.03970,1.7,3,0.8,0,145
BarabasiAlbert,0.03970,1.7,3,0.8,0,213
BarabasiAlbert,0.03970,1.7,3,0.8,0,46
BarabasiAlbert,0.03970,1.7,3,0.8,0,12
BarabasiAlbert,0.03970,1.7,3,0.8,0,65
BarabasiAlbert,0.03970,1.7,3,0.8,0,56
BarabasiAlbert,0.03970,1.7,3,0.8,0,79
BarabasiAlbert,0.03970,1.7,3,0.8,0,22
BarabasiAlbert,0.03970,1.7,3,0.8,0,64
BarabasiAlbert,0.03970,1.7,3,0.8,0,84
BarabasiAlbert,0.03970,1.7,3,0.8,0,75
BarabasiAlbert,0.03970,1.7,3,0.8,0,60
BarabasiAlbert,0.03970,1.7,3,0.8,0,10
BarabasiAlbert,0.03970,1.7,3,0.8,0,28
BarabasiAlbert,0.03970,1.7,3,0.8,0,10
BarabasiAlbert,0.03970,1.7,3,0.8,0,90
BarabasiAlbert,0.03970,1.7,3,0.8,0,58
BarabasiAlbert,0.03970,1.7,3,0.8,0,56
BarabasiAlbert,0.03970,1.7,3,0.8,0,60
BarabasiAlbert,0.03970,1.7,3,0.8,0,14
BarabasiAlbert,0.03970,1.7,3,0.8,0,42
BarabasiAlbert,0.03970,1.7,3,0.8,0,60
BarabasiAlbert,0.03970,1.7,3,0.8,0,152
BarabasiAlbert,0.03970,1.7,3,0.8,0,55
